customer_id,tier,country
1,platinum,US
2,standard,DE
3,standard,JP
4,platinum,US
5,gold,US
6,standard,UK
7,standard,US
8,standard,JP
9,platinum,DE
10,standard,DE
11,platinum,UK
12,platinum,JP
13,platinum,DE
14,standard,FR
15,platinum,JP
16,gold,JP
17,standard,UK
18,standard,DE
19,standard,JP
20,standard,DE
21,standard,FR
22,platinum,UK
23,platinum,FR
24,standard,UK
25,platinum,JP
26,standard,UK
27,platinum,US
28,platinum,DE
29,platinum,DE
30,platinum,US
31,gold,FR
32,standard,US
33,gold,JP
34,platinum,JP
35,gold,DE
36,standard,JP
37,standard,DE
38,platinum,US
39,gold,US
40,gold,US
41,gold,DE
42,standard,US
43,standard,US
44,gold,FR
45,standard,US
46,standard,JP
47,gold,DE
48,standard,FR
49,gold,UK
50,gold,DE
51,platinum,JP
52,gold,DE
53,standard,JP
54,platinum,JP
55,gold,UK
56,platinum,DE
57,standard,UK
58,gold,UK
59,standard,DE
60,platinum,US
61,gold,US
62,platinum,UK
63,platinum,FR
64,gold,UK
65,platinum,UK
66,standard,UK
67,platinum,US
68,standard,US
69,standard,US
70,platinum,UK
71,standard,FR
72,gold,US
73,standard,DE
74,standard,DE
75,standard,DE
76,gold,JP
77,gold,UK
78,gold,DE
79,platinum,UK
80,gold,DE
81,standard,FR
82,gold,UK
83,gold,DE
84,standard,US
85,platinum,UK
86,gold,JP
87,platinum,US
88,platinum,US
89,platinum,JP
90,standard,US
91,platinum,US
92,platinum,DE
93,standard,DE
94,platinum,UK
95,platinum,UK
96,standard,UK
97,standard,DE
98,gold,UK
99,gold,US
100,gold,DE
101,platinum,UK
102,platinum,US
103,platinum,UK
104,standard,FR
105,platinum,UK
106,gold,FR
107,standard,UK
108,standard,JP
109,standard,UK
110,gold,DE
111,gold,DE
112,gold,FR
113,standard,DE
114,standard,US
115,platinum,JP
116,platinum,JP
117,gold,US
118,standard,FR
119,platinum,US
120,gold,US
121,gold,JP
122,platinum,UK
123,gold,JP
124,standard,JP
125,gold,DE
126,standard,US
127,standard,JP
128,platinum,US
129,platinum,DE
130,platinum,US
131,gold,JP
132,platinum,US
133,platinum,DE
134,gold,UK
135,platinum,US
136,gold,JP
137,gold,DE
138,standard,JP
139,standard,JP
140,platinum,US
141,gold,JP
142,standard,US
143,standard,UK
144,standard,JP
145,standard,JP
146,platinum,JP
147,standard,FR
148,platinum,FR
149,gold,DE
150,platinum,FR
151,standard,DE
152,gold,FR
153,gold,UK
154,platinum,DE
155,gold,FR
156,platinum,UK
157,gold,FR
158,platinum,US
159,standard,US
160,platinum,UK
161,platinum,JP
162,standard,JP
163,platinum,US
164,platinum,US
165,gold,JP
166,platinum,DE
167,gold,JP
168,standard,FR
169,gold,DE
170,gold,FR
171,standard,US
172,gold,DE
173,standard,FR
174,platinum,FR
175,platinum,DE
176,gold,UK
177,platinum,JP
178,standard,FR
179,platinum,JP
180,standard,JP
181,platinum,US
182,gold,JP
183,platinum,FR
184,platinum,US
185,platinum,DE
186,standard,FR
187,standard,US
188,gold,US
189,standard,JP
190,platinum,DE
191,platinum,FR
192,standard,FR
193,platinum,JP
194,gold,DE
195,gold,FR
196,standard,DE
197,standard,FR
198,gold,JP
199,gold,UK
200,standard,FR
